SALTY03439	livJ
SALTY03437	yhhK
SALTY03436	livK
SALTY03435	livH
SALTY03434	livM
SALTY03433	livG
SALTY03432	livF
SALTY03429	ugpB
SALTY03428	ugpA
SALTY03427	ugpE
SALTY03426	ugpC
SALTY03425	ugpQ
SALTY03424	yhhA
SALTY03423	ggt
SALTY03418	yhhY
SALTY03417	yhhX
SALTY03415	gntR
SALTY03414	gntK
SALTY03413	gntU
SALTY03412	yhgN
SALTY03411	asd
SALTY03410	glgB
SALTY03409	glgX
SALTY03408	glgC
SALTY03407	glgA
SALTY03406	glgP
SALTY03405	STM3533
SALTY03404	STM3532
SALTY03402	STM3529
SALTY03399	glpD
SALTY03398	glpE
SALTY03397	glpG
SALTY03396	glpR
SALTY03395	rtcR
SALTY03394	STM3521
SALTY03392	rtcA
SALTY03391	STM3517
SALTY03390	STM3516
SALTY03389	malT
SALTY03388	malP
SALTY03387	malQ
SALTY03386	gntT
SALTY03385	yhgI
SALTY03383	bioH
SALTY03381	yhgG
SALTY03380	feoB
SALTY03379	feoA
SALTY03378	yhgF
SALTY03376	ompR
SALTY03375	envZ
SALTY03374	STM3500
SALTY03373	yhgE
SALTY03372	yrfI
SALTY03371	yrfH
SALTY03369	yrfF
SALTY03368	yrfE
SALTY03367	mrcA
SALTY03361	aroK
SALTY03360	aroB
SALTY03358	dam
SALTY03357	rpe
SALTY03356	gph
SALTY03355	trpS
SALTY03354	yhfL
SALTY03353	bigA
SALTY03352	cysG
SALTY03351	nirC
SALTY03350	nirD
SALTY03349	nirB
SALTY03348	yhfC
SALTY03347	ppiA
SALTY03346	yhfG
SALTY03345	fic
SALTY03344	pabA
SALTY03343	argD
SALTY03342	yhfK
SALTY03341	crp
SALTY03340	yhfA
SALTY03337	yheT
SALTY03336	STM3461
SALTY03335	yheS
SALTY03334	yheR
SALTY03333	kefB
SALTY03331	slyD
SALTY03329	fkpA
SALTY03327	yheN
SALTY03326	yheM
SALTY03325	yheL
SALTY03324	rpsL
SALTY03323	rpsG
SALTY03322	fusA
SALTY03321	bfd
SALTY03320	bfr
SALTY03318	rpsJ
SALTY03317	rplC
SALTY03316	rplD
SALTY03315	rplW
SALTY03314	rplB
SALTY03313	rpsS
SALTY03312	rplV
SALTY03311	rpsC
SALTY03310	rplP
SALTY03309	rpmC
SALTY03308	rpsQ
SALTY03307	rplN
SALTY03306	rplX
SALTY03305	rplE
SALTY03304	rpsN
SALTY03303	rpsH
SALTY03302	rplF
SALTY03301	rplR
SALTY03300	rpsE
SALTY03299	rpmD
SALTY03298	rplO
SALTY03297	secY
SALTY03295	rpsM
SALTY03294	rpsK
SALTY03293	rpsD
SALTY03292	rpoA
SALTY03291	rplQ
SALTY03289	zntR
SALTY03288	STM3411
SALTY03287	mscL
SALTY03286	trkA
SALTY03284	fmt
SALTY03283	def
SALTY03281	smg
SALTY03279	yrdC
SALTY03278	aroE
SALTY03276	yrdA
SALTY03274	acrF
SALTY03273	acrE
SALTY03272	envR
SALTY03271	STM3388
SALTY03269	yhdJ
SALTY03268	fis
SALTY03267	yhdG
SALTY03266	prmA
SALTY03265	panF
SALTY03263	accC
SALTY03262	accB
SALTY03260	STM3377
SALTY03259	yhdH
SALTY03257	mreB
SALTY03254	yhdE
SALTY03253	cafA
SALTY03251	tldD
SALTY03250	yhcS
SALTY03246	yhcO
SALTY03244	yhcN
SALTY03243	argR
SALTY03242	mdh
SALTY03239	STM3356
SALTY03238	STM3355
SALTY03237	STM3354
SALTY03236	oadG
SALTY03234	oadB
SALTY03232	degS
SALTY03231	degQ
SALTY03228	rplM
SALTY03227	rpsI
SALTY03226	STM3343
SALTY03225	sspA
SALTY03224	sspB
SALTY03223	yhcK
SALTY03222	nanA
SALTY03221	nanT
SALTY03220	nanE
SALTY03219	nanK
SALTY03218	yhcH
SALTY03217	STM3334
SALTY03216	STM3333
SALTY03214	gltD
SALTY03213	gltB
SALTY03212	yhcC
SALTY03211	arcB
SALTY03210	yhbL
SALTY03209	mtgA
SALTY03208	yrbL
SALTY03207	ptsO
SALTY03206	yhbJ
SALTY03205	ptsN
SALTY03203	rpoN
